step,train_loss,validation_loss
20,0.9715,1.341640591621399
40,0.8425,1.0892161130905151
60,0.7366,0.8755348324775696
80,0.6033,0.7516536116600037
100,0.5778,0.6837467551231384
120,0.5516,0.6446666717529297
140,0.53,0.6296834945678711
160,0.5109,0.6198939681053162
180,0.5141,0.6107873320579529
200,0.5011,0.6080554723739624
220,0.4914,0.6006963849067688
240,0.5039,0.5951007008552551
260,0.4927,0.5948737263679504
280,0.4781,0.5917598605155945
300,0.4794,0.591814398765564
320,0.4799,0.5879981517791748
340,0.468,0.5846460461616516
360,0.4858,0.5866671204566956
